name,vintage-name,origin,description,year,bottle-shot,abv,acidity,ph,sugar,currency,price
Grenache,Adelaida District,"California, United States",The 2020 Grenache is Tablas Creek’s twelfth varietal bottling of the signature grape of the southern Rhone Valley. The wine shows the bright fruit and exuberant spice of the Grenache Noir grape from 2020 vintage.,2020,https://cellar.db.wine/attachments/347008b7-ae85-4dd3-8dc7-fec57eb64184/91a58c8da2c702669b734c4717f50b2e39d67e2d2e47b2d2f021d79dad480b34.jpg,14,,,,,
Tannat,Adelaida District,"California, United States","The Tablas Creek Vineyard 2019 Tannat is Tablas Creek’s eighteenth bottling of this traditional varietal from South-West France, known principally in the Pyrenees foothills appellation of Madiran, but originally native to the Basque region. Tannat typically has intense fruit, spice, and tannins that produce wines capable of long aging.",2019,https://cellar.db.wine/attachments/ca44a0e9-15d5-416c-812e-ad67d7a7a431/0e1a9e2d46b09a7b779424ddd35fab49f66909dea90034fdf8b8559bc4ba482f.jpg,14,,,,,
Vaccarese,Adelaida District,"California, United States","The Tablas Creek Vineyard 2019 Vaccarese is our first (and California's first-ever) varietal bottling of this rare Chateauneuf-du-Pape grape, propagated from budwood cuttings from the Château de Beaucastel estate.

Vaccarese is a little-known blending grape from the south of France; at less than 30 acres planted in France in 2016 it is one of Chateauneuf du Pape's rarest, and the two-thirds of an acre that we planted here in Paso Robles is California's first.",2019,https://cellar.db.wine/attachments/f7b18040-df52-40df-95bb-602d382c2c7e/0768294c22619c82227c382b73e13b5d2146590821923b0f2f8b161928f9a4a5.jpeg,13,,,,USD,35
ROSADO DE MALBEC,Lunlunta,"Mendoza, Argentina","The Malbec is the signature grape of Argentina. Originally from France, it found the perfect environment in the Andes. The Malbec vines have found the ideal location along the Mendoza river . Winding through the foothills of the Andes, the Mendoza river region has the longest history of wine production in arid Mendoza climate. There is not much rain and humidity is low. Summer sunshine is intense and winters are cold. These conditions allow the grapes to mature slowly. The wide variation between the hot days and the cold nights allows for a good level of sugar to develop in the grapes, while intensifying the acidity, colour and aromas. The secret of the wine growing lies in the soil, which is alluvial with stony subsoil and good drainage, which forces the roots to penetrate deeply to find water and nutrients.
Annual temperatures 15 ° / 19 ° C. Summer DTR 19 ° / 32 ° C Winter DTR 4 ° / 16 ° C . Average annual rainfall of 200 mm. Vineyards Altitude between 900 – 1.200 m.a.s.l",2020,https://cellar.db.wine/attachments/3c5ec9ca-ecdf-4a89-a9c1-0851f93045e4/b32f0f2a9b666d5a5cbcd552276f87f499ec6170793e1be8c5b54b327c4dc045.jpg,13.9,6.45,,2.28,USD,7
FAMILIA FURLOTTI   FINCA PARAJE ALTAMIRA,Valle de Uco,"Mendoza, Argentina",,2016,https://cellar.db.wine/attachments/22ba4ced-a998-42be-bb3a-f2a92e740d5b/6c25da0c190c3310d743961654b548ee4af2498a50dd22fc93ba81cfb50ee549.jpg,14.4,5.66,,2.02,ARS,
FAMILIA FURLOTTI   FINCA PARAJE ALTAMIRA,Valle de Uco,"Mendoza, Argentina",,2015,https://cellar.db.wine/attachments/49cff568-23bb-491b-9bae-0a03ddf559be/bee02b1cc10c49020007a1138f7ab64967046da44b1448fb09b3392570c13e5f.jpg,14.9,5.77,3.7,2.37,ARS,
Criolla,Rivadavia - Mendoza,"Mendoza, Argentina",,2021,https://cellar.db.wine/attachments/7f25ae7e-2478-4585-a2fc-f6015002796c/649b6ec431326a7cf62aa726707a67f5ecab267cab68e6256e39bec8d8196bbe.jpeg,11.9,5,3.8,2,ARS,
Familia Furlotti Malbec,Mendoza,"Mendoza, Argentina","The Malbec is the signature grape of Argentina. Originally from France, it found the perfect environment in the Andes. The Malbec vines have found the ideal location along the Mendoza river and in the Uco Valley. Winding through the foothills of the Andes, the Mendoza river region has the longest history of wine production in the Mendoza province, while the Uco Valley is also an interesting area to grow grape – being higher in the mountains, where the climate is cooler.",2018,https://cellar.db.wine/attachments/aae930ec-07fc-4616-826e-aaf872843ebb/89f4c1c17e5821e6aca332f62649e25a7d5d4da5db14a4c3c66e00b49a810c93.jpg,14.4,5.4,3.7,2.12,ARS,7
Familia Furlotti Malbec,Mendoza,"Mendoza, Argentina","The Malbec is the signature grape of Argentina. Originally from France, it found the perfect environment in the Andes. The Malbec vines have found the ideal location along the Mendoza river and in the Uco Valley. Winding through the foothills of the Andes, the Mendoza river region has the longest history of wine production in the Mendoza province, while the Uco Valley is also an interesting area to grow grape – being higher in the mountains, where the climate is cooler.",2017,https://cellar.db.wine/attachments/05cfb0ce-d027-4f00-ac0d-9fe11b2c3814/a16583ecc4e8101816613f395fb133c62008443f4590b6df62707a45b49f104f.jpg,14.2,5.5,3.7,2.14,ARS,
Familia Furlotti Malbec,Mendoza,"Mendoza, Argentina","The Malbec is the signature grape of Argentina. Originally from France, it found the perfect environment in the Andes. The Malbec vines have found the ideal location along the Mendoza river and in the Uco Valley. Winding through the foothills of the Andes, the Mendoza river region has the longest history of wine production in the Mendoza province, while the Uco Valley is also an interesting area to grow grape – being higher in the mountains, where the climate is cooler.",2016,https://cellar.db.wine/attachments/7c7f3f4b-2f73-4a65-ae8b-58f10d09893e/65a44d0804e703c1cf948afd99d8c0e6b75c98617e90212278cb715a82aca094.jpg,14.3,6.06,,2.16,ARS,
Familia Furlotti Malbec,Luján de Cuyo,"Mendoza, Argentina","The Malbec is the signature grape of Argentina. Originally from France, it found the perfect environment in the Andes. The Malbec vines have found the ideal location along the Mendoza river and in the Uco Valley. Winding through the foothills of the Andes, the Mendoza river region has the longest history of wine production in the Mendoza province, while the Uco Valley is also an interesting area to grow grape – being higher in the mountains, where the climate is cooler.",2015,https://cellar.db.wine/attachments/e1474b99-ec5b-4ae4-af71-c62182e9741e/6469236fc8ccd35d5ccbe87cb50a8ab5ab70cff4360aa77a74b6089f2213269b.jpg,14.3,5.77,3.7,1.84,ARS,
Familia Furlotti Malbec,Luján de Cuyo,"Mendoza, Argentina","The Malbec is the signature grape of Argentina. Originally from France, it found the perfect environment in the Andes. The Malbec vines have found the ideal location along the Mendoza river and in the Uco Valley. Winding through the foothills of the Andes, the Mendoza river region has the longest history of wine production in the Mendoza province, while the Uco Valley is also an interesting area to grow grape – being higher in the mountains, where the climate is cooler.",2014,https://cellar.db.wine/attachments/15504f47-cec4-4477-b3df-aba8c4e19d58/cefe41160cd550e660df0b210ad079bedced5f2a8c178558ca9f43ab33f79487.jpg,14.2,5.77,3.84,1.8,ARS,
Familia Furlotti Pinot Noir,Pampa el Cepillo,"Mendoza, Argentina","A pretty red with aromas of strawberries, red plums and cherries together with hints of dried herms and flowers. Round and silky with a juicy edged wild strawberry perfume. Joyfull and easy to drink with a flavorful finish. 

 Cold climate, 3,400 ft a.s.l, sandy, loam soil with a rocky bottom.
",2021,https://cellar.db.wine/attachments/561806f9-90b2-4435-bfce-3f4fc8a60858/401365d99bcd9661dff2678fa2204980c436aef09fb75dcc6767465ea174a450.jpg,12,4.77,3.5,1.79,ARS,12
FAMILIA FURLOTTI  FINCA LUNLUNTA,Lunlunta,"Mendoza, Argentina","Finca Lunlunta located in Maipú on the northern area of Mendoza River. The 8 hectares were planted in the seventies on 930 m.a.s.l altitude, with vines on VSP Trellis system and Pre-phylloxera rootstock . average production is 6.000 kg /ha. Furrow irrigation system, one of the oldest methods is used to irrigate . This vineyard of 6.000 planting density. Well-drained alluvial soil of composed silt and limestone; A mixed texture with great oenological potential: shallow topsoil provides freshness, but the subsoil of stones and chalk limits growth, so that the vines produce smaller grapes with intensified flavours of complexity and depth.
Dry and arid, with annual rainfall of just 200mm. The vineyard is close to the Mendoza river and benefits from the fresh breezes off the Andes, which generate a diurnal temperature variation (14C), ideal for a quality vineyard. With hot days and cold nights, we achieve good levels of sugar, while conserving the acidity, colour and aromas of the grapes.",2017,https://cellar.db.wine/attachments/d582c838-e390-4d08-8d20-127f6659dbb4/7c4a1049364f47bb670c96ffb8a0cdaa0d8c68cb0504cb7ea3c6a16849556a47.jpg,14.8,5.91,3.8,2.46,ARS,
FAMILIA FURLOTTI  FINCA LUNLUNTA,Lunlunta,"Mendoza, Argentina","Finca Lunlunta located in Maipú on the northern area of Mendoza River. The 8 hectares were planted in the seventies on 930 m.a.s.l altitude, with vines on VSP Trellis system and Pre-phylloxera rootstock . average production is 6.000 kg /ha. Furrow irrigation system, one of the oldest methods is used to irrigate . This vineyard of 6.000 planting density. Well-drained alluvial soil of composed silt and limestone; A mixed texture with great oenological potential: shallow topsoil provides freshness, but the subsoil of stones and chalk limits growth, so that the vines produce smaller grapes with intensified flavours of complexity and depth.
Dry and arid, with annual rainfall of just 200mm. The vineyard is close to the Mendoza river and benefits from the fresh breezes off the Andes, which generate a diurnal temperature variation (14C), ideal for a quality vineyard. With hot days and cold nights, we achieve good levels of sugar, while conserving the acidity, colour and aromas of the grapes.",2015,https://cellar.db.wine/attachments/42d3d0ae-914b-465b-9449-79f38288e2dc/b9a1bc64baa312e9add2c48ebf8077c827b7f5fcea9b398d40e92ef7ecb02f8a.jpg,14.5,5.77,3.7,2.93,ARS,
FAMILIA FURLOTTI  FINCA LUNLUNTA,Lunlunta,"Mendoza, Argentina","Finca Lunlunta located in Maipú on the northern area of Mendoza River. The 8 hectares were planted in the seventies on 930 m.a.s.l altitude, with vines on VSP Trellis system and Pre-phylloxera rootstock . average production is 6.000 kg /ha. Furrow irrigation system, one of the oldest methods is used to irrigate . This vineyard of 6.000 planting density. Well-drained alluvial soil of composed silt and limestone; A mixed texture with great oenological potential: shallow topsoil provides freshness, but the subsoil of stones and chalk limits growth, so that the vines produce smaller grapes with intensified flavours of complexity and depth.
Dry and arid, with annual rainfall of just 200mm. The vineyard is close to the Mendoza river and benefits from the fresh breezes off the Andes, which generate a diurnal temperature variation (14C), ideal for a quality vineyard. With hot days and cold nights, we achieve good levels of sugar, while conserving the acidity, colour and aromas of the grapes.",2014,https://cellar.db.wine/attachments/2037ce4b-5825-4dce-9d06-f8b51f6104a9/9507b8dde6d565856dc5d340046f950448aed8da0e69e1c499dc24100ccc9741.jpg,14.5,5.6,3.7,2.69,ARS,13
Block3 Merlot,Bordeaux Supérieur,"Gironde, France","The 2020 vintage Block3 Bordeaux Merlot is the second full varietal merlot wine in the Paradise Rescued <Block series>.

It was bottled and put into store in March 2022. More details to follow.",2020,,13.57,3,3.76,0.1,,
Block3 Merlot,Bordeaux Supérieur,"Gironde, France","The 2020 vintage Block3 Bordeaux Merlot is the second full varietal merlot wine in the Paradise Rescued <Block series>.

It was bottled and put into store in March 2022. More details to follow.",2019,https://cellar.db.wine/attachments/2e986c37-8dc8-4f03-96ee-4be94b3e40fa/df03cd24fbae10045fe53b89280df57ce4e157bf8e8afa4c68841d8999333388.jpg,13.5,2.3,3.87,0.15,EUR,20
B1ockOne Bordeaux Cabernet Franc,Bordeaux Supérieur,"Gironde, France",B1ockOne Bordeaux Cabernet Franc is almost a unique wine from the world's most prestigious and largest vineyards. Cabernet Franc is one of the three top grape varieties used in Bordeaux blends but less well known than Merlot and Cabernet Sauvignon. Fewer than ten 100% Bordeaux varietal Cabernet Franc wines are produced. B1ockOne is certified Organic wine from 2016 onwards. ,2018,https://cellar.db.wine/attachments/e5a18ad6-8d26-4152-92b6-33b98b4e313d/f5833daf2c29b7090b2100ef34f36b4684b58e26069bb7ff2f795c027c3b5c93.png,14.5,4.75,3.71,0.35,EUR,19
B1ockOne Bordeaux Cabernet Franc,Bordeaux Supérieur,"Gironde, France",B1ockOne Bordeaux Cabernet Franc is almost a unique wine from the world's most prestigious and largest vineyards. Cabernet Franc is one of the three top grape varieties used in Bordeaux blends but less well known than Merlot and Cabernet Sauvignon. Fewer than ten 100% Bordeaux varietal Cabernet Franc wines are produced. B1ockOne is certified Organic wine from 2016 onwards. ,2017,https://cellar.db.wine/attachments/b699063d-a360-4ebd-b518-8270c1772e00/b30dc59cffd20220d5be211377816cfbd802df7d3b176364e48b12a199386063.png,13.5,4.1,3.78,0.1,EUR,17
B1ockOne Bordeaux Cabernet Franc,Bordeaux Supérieur,"Gironde, France",B1ockOne Bordeaux Cabernet Franc is almost a unique wine from the world's most prestigious and largest vineyards. Cabernet Franc is one of the three top grape varieties used in Bordeaux blends but less well known than Merlot and Cabernet Sauvignon. Fewer than ten 100% Bordeaux varietal Cabernet Franc wines are produced. B1ockOne is certified Organic wine from 2016 onwards. ,2016,https://cellar.db.wine/attachments/7259dae0-43be-4632-8314-0536d4ae4a7f/b4b8fa1b3528a1e59dc3dc6524a481bb7483647d585f479fc23b1635bb09360d.png,13,4.57,3.67,0.1,EUR,18
B1ockOne Bordeaux Cabernet Franc,Bordeaux Supérieur,"Gironde, France",B1ockOne Bordeaux Cabernet Franc is almost a unique wine from the world's most prestigious and largest vineyards. Cabernet Franc is one of the three top grape varieties used in Bordeaux blends but less well known than Merlot and Cabernet Sauvignon. Fewer than ten 100% Bordeaux varietal Cabernet Franc wines are produced. B1ockOne is certified Organic wine from 2016 onwards. ,2015,https://cellar.db.wine/attachments/83d9df3f-ecbf-411f-acbd-36c2542e0692/79f34fca9f5aabf45b517591e48ed1626c7d77082b6ce91b7243e90ee861c183.png,13,4.6,3.77,0.2,EUR,
B1ockOne Bordeaux Cabernet Franc,Bordeaux Supérieur,"Gironde, France",B1ockOne Bordeaux Cabernet Franc is almost a unique wine from the world's most prestigious and largest vineyards. Cabernet Franc is one of the three top grape varieties used in Bordeaux blends but less well known than Merlot and Cabernet Sauvignon. Fewer than ten 100% Bordeaux varietal Cabernet Franc wines are produced. B1ockOne is certified Organic wine from 2016 onwards. ,2014,https://cellar.db.wine/attachments/72789f11-c225-4fb2-aa4f-071e227d7c3f/7cee0cbcb1d53a1eddc73c3ab3d69e744c2f8beb8f59a1d5ee828c9f161f97c0.png,13,4.62,3.76,0.05,EUR,
B1ockOne Bordeaux Cabernet Franc,Bordeaux Supérieur,"Gironde, France",B1ockOne Bordeaux Cabernet Franc is almost a unique wine from the world's most prestigious and largest vineyards. Cabernet Franc is one of the three top grape varieties used in Bordeaux blends but less well known than Merlot and Cabernet Sauvignon. Fewer than ten 100% Bordeaux varietal Cabernet Franc wines are produced. B1ockOne is certified Organic wine from 2016 onwards. ,2013,https://cellar.db.wine/attachments/a3e6c3d8-6d98-436c-88c5-80d287194c68/f4fceffa184b17eed432517fb11f5a509aa9203d873965d472ee92b416321bb8.png,11,7.55,3.6,0.95,EUR,
B1ockOne Bordeaux Cabernet Franc,Bordeaux Supérieur,"Gironde, France",B1ockOne Bordeaux Cabernet Franc is almost a unique wine from the world's most prestigious and largest vineyards. Cabernet Franc is one of the three top grape varieties used in Bordeaux blends but less well known than Merlot and Cabernet Sauvignon. Fewer than ten 100% Bordeaux varietal Cabernet Franc wines are produced. B1ockOne is certified Organic wine from 2016 onwards. ,2012,https://cellar.db.wine/attachments/154badad-6c9a-485b-babe-82066496a0a2/b2035bb280cd91e483fa0de5b65cd45d72ecaccea711193865f167ebd6660d1c.jpg,13.5,5.97,3.7,0.8,EUR,
B1ockOne Bordeaux Cabernet Franc,Bordeaux Supérieur,"Gironde, France",B1ockOne Bordeaux Cabernet Franc is almost a unique wine from the world's most prestigious and largest vineyards. Cabernet Franc is one of the three top grape varieties used in Bordeaux blends but less well known than Merlot and Cabernet Sauvignon. Fewer than ten 100% Bordeaux varietal Cabernet Franc wines are produced. B1ockOne is certified Organic wine from 2016 onwards. ,2010,https://cellar.db.wine/attachments/e08599eb-e0df-46a0-9475-3f6d7f655515/1e4682673107618a4ed03667d07d481ba21bc01da5849b90fa2a915239eb317f.png,12.5,5.5,3.69,,,
BlockTwo Bordeaux Merlot Cab Franc,Bordeaux Supérieur,"Gironde, France",BlockTwo is a classic Bordeaux right bank blend of 75% Merlot and 25% Cabernet Franc highlighting the benefits of these two classic Bordeaux varietals when combined. Organically produced and certified from 2016 onwards. ,2019,https://cellar.db.wine/attachments/159d3d1b-e864-4033-95ae-2978c6689684/efde6389dcd2874e98e0615c251e7804fdb7903cfbc3aa2c4182f4716cc92a01.png,13.5,3.7,3.86,0.15,EUR,
BlockTwo Bordeaux Merlot Cab Franc,Bordeaux Supérieur,"Gironde, France",BlockTwo is a classic Bordeaux right bank blend of 75% Merlot and 25% Cabernet Franc highlighting the benefits of these two classic Bordeaux varietals when combined. Organically produced and certified from 2016 onwards. ,2018,https://cellar.db.wine/attachments/684dc4e8-16fc-4529-8bb0-c003b37a3605/9ecaddd65d63c381b8b6cbd9b05d838f7843fcb43f90c25a013c5590decd428c.png,14,4.65,3.73,0.15,EUR,19
BlockTwo Bordeaux Merlot Cab Franc,Bordeaux Supérieur,"Gironde, France",BlockTwo is a classic Bordeaux right bank blend of 75% Merlot and 25% Cabernet Franc highlighting the benefits of these two classic Bordeaux varietals when combined. Organically produced and certified from 2016 onwards. ,2017,https://cellar.db.wine/attachments/266c125c-0452-424a-b7ff-1ef28ae90249/2b69f4e441b098b368f7a7b55d5163d9f3ecf527dfafb952702261f6d6ad2270.png,13.5,3.98,3.74,0.15,EUR,18
BlockTwo Bordeaux Merlot Cab Franc,Bordeaux Supérieur,"Gironde, France",BlockTwo is a classic Bordeaux right bank blend of 75% Merlot and 25% Cabernet Franc highlighting the benefits of these two classic Bordeaux varietals when combined. Organically produced and certified from 2016 onwards. ,2016,https://cellar.db.wine/attachments/4bf229f8-d0ff-4c81-ae1e-99a6b31c0200/22d53efe77c9afc7b13abe8610c7a5853bdcb60b603212b84bb594a1c0094a92.png,13.5,4.39,3.7,0.1,EUR,19
BlockTwo Bordeaux Merlot Cab Franc,Bordeaux Supérieur,"Gironde, France",BlockTwo is a classic Bordeaux right bank blend of 75% Merlot and 25% Cabernet Franc highlighting the benefits of these two classic Bordeaux varietals when combined. Organically produced and certified from 2016 onwards. ,2015,https://cellar.db.wine/attachments/368973fc-2ee2-44fe-a3aa-50dc3d22f935/fe33d32fa11f2ea6800dee0046b206c68266440c747211816a9aed6f0db4201d.png,13,4.45,3.79,0.2,EUR,
BlockTwo Bordeaux Merlot Cab Franc,Bordeaux Supérieur,"Gironde, France",BlockTwo is a classic Bordeaux right bank blend of 75% Merlot and 25% Cabernet Franc highlighting the benefits of these two classic Bordeaux varietals when combined. Organically produced and certified from 2016 onwards. ,2014,https://cellar.db.wine/attachments/61376a3c-08b9-4343-bf5d-e81c123cce39/bfdeecf9426b34e9dbd40ebc04c49df1e235ffe115beea3cd35e0d1ed5a3fc11.png,13,4.59,3.81,0.05,EUR,
BlockTwo Bordeaux Merlot Cab Franc,Bordeaux Supérieur,"Gironde, France",BlockTwo is a classic Bordeaux right bank blend of 75% Merlot and 25% Cabernet Franc highlighting the benefits of these two classic Bordeaux varietals when combined. Organically produced and certified from 2016 onwards. ,2012,https://cellar.db.wine/attachments/2ebfe485-a9aa-4e1a-bc02-823d0e905ee9/19e75f8e076219aef0f34f3712ce3a089dbdddcf98747edf1cfcfc277440ca1d.png,13.5,5.66,3.7,1.1,AUD,
Reserva Tempranillo,Paso Robles Willow Creek District,"California, United States","A Spanish variety, this wine is typically 100% Tempranillo though every now and then a small percentage of Grenache or Syrah may find a home in this wine.",2017,https://cellar.db.wine/attachments/ca21af16-31a8-4e0c-8b0a-b05a366ef213/ba86e0a22f195bde04ad9ff93619b132891a0a09cf26bd6bb425a136eea59666.png,14.4,5.6,3.76,,USD,
Reserva Tempranillo,Paso Robles Willow Creek District,"California, United States","A Spanish variety, this wine is typically 100% Tempranillo though every now and then a small percentage of Grenache or Syrah may find a home in this wine.",2016,https://cellar.db.wine/attachments/081bcb6e-dcf0-4978-afac-7649c2e34b2b/3956c14d8caa29e2ce33496ed55faffc0306ac7b84a2984ee2d5597f30f59d83.png,15.1,5.8,3.78,,USD,
Reserva Tempranillo,Paso Robles Willow Creek District,"California, United States","A Spanish variety, this wine is typically 100% Tempranillo though every now and then a small percentage of Grenache or Syrah may find a home in this wine.",2013,https://cellar.db.wine/attachments/8379f5e7-06d0-4818-8c17-aa963d7cef7e/c31510497ffc27a1cc122da0a3c54b2a60ab0ff30747f8efcb7575fb086821dc.png,15.7,5.6,3.72,,USD,
Reserva Tempranillo,Paso Robles Willow Creek District,"California, United States","A Spanish variety, this wine is typically 100% Tempranillo though every now and then a small percentage of Grenache or Syrah may find a home in this wine.",2012,https://cellar.db.wine/attachments/3d3b798d-ed82-4440-bcf9-4845204f452f/ad893ffd390c68c251aad5b8c885c65143a03ba99d5adc9ddc49cf4ed8107a3f.png,15.2,5.8,3.74,,USD,
York Mountain Viognier,York Mountain,"California, United States",,2019,https://cellar.db.wine/attachments/24471d29-f8b2-46a8-9f96-e0599e037b5d/d8234024da9456a2ab6053fd984362a5ecd93ffc9e33425c1d91ae3863a9b207.jpg,13.8,5.3,3.51,,USD,
Estate Blend,Paso Robles Willow Creek District,"California, United States","Our Estate Blend provides a snapshot of Epoch vineyards and our specific winemaking practices within every vintage. Though Syrah consistently takes the lead, the exact blend of varieties varies from vintage to vintage. Grenache, Mourvèdre, and Tempranillo regularly play key roles in this wine with occasional cameos from Zinfandel and other varieties. It is totally Epoch!",2019,https://cellar.db.wine/attachments/c80e58c2-ce4f-40bb-b6fb-e6d433ac5039/ab133bd34eddb75b255258170f84059fd013655b0e4f65095648980fe1dcfa2f.png,15.1,5.4,3.85,,USD,
Estate Blend,Paso Robles Willow Creek District,"California, United States","Our Estate Blend provides a snapshot of Epoch vineyards and our specific winemaking practices within every vintage. Though Syrah consistently takes the lead, the exact blend of varieties varies from vintage to vintage. Grenache, Mourvèdre, and Tempranillo regularly play key roles in this wine with occasional cameos from Zinfandel and other varieties. It is totally Epoch!",2018,https://cellar.db.wine/attachments/47a1435d-17b5-4554-bf33-5020757d90d7/b191eb35ad599e9979bea286435885c916022b4b93d94889e819406aeb965295.jpeg,15.2,5.9,3.71,,USD,60
